prop_address_zipcode_1,pin,year,board_tot,board_tot_num
60618,13251170370000,2020,25343,25343
60618,13261000301225,2020,1474,1474
60618,14301060941003,2020,34895,34895
60618,13243220340000,2016,20000,20000
60618,14301220160000,2020,46269,46269
60618,13261000301139,2020,17446,17446
60618,14191250401006,2020,17996,17996
60618,13144120431007,2019,14979,14979
60618,13261020240000,2019,33162,33162
60618,14191260380000,2017,48689,48689
60618,13133250371011,2016,339,339
60618,13251270200000,2016,11321,11321
60618,13261180290000,2016,32064,32064
60618,14183130170000,2020,87533,87533
60618,14301180301024,2020,33459,33459
60618,14191250401004,2020,17996,17996
60618,14191220410000,2017,101500,101500
60618,13231050310000,2019,31328,31328
60618,13144220421003,2019,64999,64999
60618,13252000310000,2019,40867,40867
60618,14191180280000,2019,67347,67347
60618,14301160350000,2019,39128,39128
60618,13243170080000,2017,33426,33426
60618,13242040010000,2017,30606,30606
60618,14183210601053,2017,1900,1900
60618,13233180280000,2017,34889,34889
60618,13261300020000,2018,0,0
60618,14191120090000,2018,89602,89602
60618,14183090440000,2018,62551,62551
60618,14183210601012,2018,33472,33472
60618,13251020401005,2020,45691,45691
60618,13261000301081,2016,8866,8866
60618,13261120320000,2017,27516,27516
60618,13134130380000,2017,38000,38000
60618,13134040310000,2018,42055,42055
60618,14183210601067,2018,2624,2624
60618,14191250030000,2018,73037,73037
60618,13143190210000,2016,37400,37400
60618,14191250130000,2016,56474,56474
60618,13261200280000,2016,36472,36472
60618,13261000301015,2016,11840,11840
60618,13134170481018,2020,25364,25364
60618,13144300240000,2018,50308,50308
60618,13143040040000,2016,57509,57509
60618,13144230200000,2018,38005,38005
60618,13261060421003,2019,30623,30623
60618,13243190451003,2019,26041,26041
60618,13234080090000,2019,32400,32400
60618,13144080360000,2019,30119,30119
60618,14183280031063,2019,1368,1368
60618,13262100360000,2019,33123,33123
60618,13144290481069,2016,1049,1049
60618,13242020330000,2016,12434,12434
60618,13241080411005,2016,15793,15793
60618,13232030280000,2020,35848,35848
60618,13144040311002,2020,13085,13085
60618,14183100370000,2020,76920,76920
60618,13143210141010,2020,15243,15243
60618,13134160321001,2017,43890,43890
60618,14191300020000,2019,144669,144669
60618,13232070200000,2017,29436,29436
60618,14301060540000,2017,64086,64086
60618,13144160220000,2017,23738,23738
